KOD;NAZEV;ORP_KOD;SPRAVNI_OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
2691;Adamov;1295;581291;06.06.2015 00:00:00;;24.11.1990 00:00:00
1074;Aš;507;554499;18.08.2020 00:00:00;;24.11.1990 00:00:00
957;Bechyně;477;552054;28.11.2024 00:00:00;;24.11.1990 00:00:00
27;Benešov;27;529303;19.06.2025 00:00:00;;24.11.1990 00:00:00
1571;Benešov nad Ploučnicí;728;562351;02.12.2024 00:00:00;;24.11.1990 00:00:00
272;Benátky nad Jizerou;167;535451;18.07.2024 00:00:00;;24.11.1990 00:00:00
78;Beroun;51;531057;12.01.2026 00:00:00;;24.11.1990 00:00:00
1465;Bezdružice;680;560740;08.07.2024 00:00:00;;24.11.1990 00:00:00
2704;Blansko;1295;581283;09.12.2025 00:00:00;;24.11.1990 00:00:00
914;Blatná;434;550850;07.03.2025 00:00:00;;24.11.1990 00:00:00
1236;Blovice;591;557587;15.03.2022 00:00:00;;24.11.1990 00:00:00
3557;Bohumín;1783;599051;31.03.2016 00:00:00;;24.11.1990 00:00:00
3212;Bojkovice;1619;592048;29.06.2020 00:00:00;;24.11.1990 00:00:00
1473;Bor;698;560758;03.09.2025 00:00:00;;24.11.1990 00:00:00
2712;Boskovice;1309;581372;17.12.2024 00:00:00;;24.11.1990 00:00:00
361;Brandýs nad Labem-Stará Boleslav;213;538094;02.10.2024 00:00:00;;24.11.1990 00:00:00
2747;Brno;1317;582786;07.02.2024 00:00:00;;01.01.2003 00:00:00
2224;Broumov;1031;573922;06.04.2022 00:00:00;;24.11.1990 00:00:00
2861;Brumov-Bylnice;1449;585114;23.08.2016 00:00:00;;24.11.1990 00:00:00
3425;Bruntál;1716;597180;30.11.2022 00:00:00;;24.11.1990 00:00:00
3263;Bučovice;1627;592943;20.01.2023 00:00:00;;24.11.1990 00:00:00
3379;Bystřice nad Pernštejnem;1678;595411;04.01.2023 00:00:00;;24.11.1990 00:00:00
3051;Bystřice pod Hostýnem;1520;588393;06.02.2024 00:00:00;;24.11.1990 00:00:00
2941;Bzenec;1481;586081;25.06.2025 00:00:00;;24.11.1990 00:00:00
1902;Bílina;906;567451;07.06.2022 00:00:00;;24.11.1990 00:00:00
3603;Bílovec;1830;599247;06.11.2025 00:00:00;;24.11.1990 00:00:00
281;Bělá pod Bezdězem;167;535443;19.06.2024 00:00:00;;24.11.1990 00:00:00
2810;Břeclav;1384;584291;11.04.2023 00:00:00;;24.11.1990 00:00:00
485;Březnice;256;540013;12.02.2026 00:00:00;;24.11.1990 00:00:00
1082;Cheb;515;554481;15.07.2025 00:00:00;;24.11.1990 00:00:00
2038;Chlumec nad Cidlinou;965;570109;01.07.2022 00:00:00;;24.11.1990 00:00:00
2607;Choceň;1252;580350;25.06.2025 00:00:00;;24.11.1990 00:00:00
1406;Chodov;671;560383;25.07.2018 00:00:00;;24.11.1990 00:00:00
1635;Chomutov;752;562971;11.11.2019 00:00:00;;24.11.1990 00:00:00
1970;Chotěboř;931;568759;24.03.2023 00:00:00;;24.11.1990 00:00:00
2097;Chrast;981;571539;15.12.2023 00:00:00;;24.11.1990 00:00:00
1716;Chrastava;817;564117;22.06.2024 00:00:00;;24.11.1990 00:00:00
3069;Chropyně;1546;588512;16.06.2015 00:00:00;;24.11.1990 00:00:00
2101;Chrudim;981;571164;17.10.2025 00:00:00;;24.11.1990 00:00:00
2313;Chvaletice;1091;575071;23.12.2021 00:00:00;;24.11.1990 00:00:00
1511;Cvikov;701;561479;13.01.2023 00:00:00;;24.11.1990 00:00:00
701;Dačice;337;546127;24.10.2023 00:00:00;;24.11.1990 00:00:00
2364;Dobruška;1104;576271;12.05.2025 00:00:00;;24.11.1990 00:00:00
1244;Dobřany;621;557676;03.02.2020 00:00:00;;24.11.1990 00:00:00
493;Dobříš;248;540111;28.07.2025 00:00:00;;24.11.1990 00:00:00
1520;Doksy;710;561495;15.08.2025 00:00:00;;24.11.1990 00:00:00
1015;Domažlice;485;553425;15.09.2025 00:00:00;;24.11.1990 00:00:00
1911;Duchcov;914;567515;12.04.2023 00:00:00;;24.11.1990 00:00:00
2534;Dvůr Králové nad Labem;1201;579203;21.10.2025 00:00:00;;24.11.1990 00:00:00
1589;Děčín;728;562335;13.06.2025 00:00:00;;24.11.1990 00:00:00
3611;Frenštát pod Radhoštěm;1848;599344;22.05.2024 00:00:00;;24.11.1990 00:00:00
3506;Frýdek-Místek;1741;598003;25.03.2026 00:00:00;;24.11.1990 00:00:00
1724;Frýdlant;809;564028;15.12.2016 00:00:00;;24.11.1990 00:00:00
3514;Frýdlant nad Ostravicí;1759;598143;25.03.2026 00:00:00;;24.11.1990 00:00:00
3620;Fulnek;1872;599352;21.06.2023 00:00:00;;24.11.1990 00:00:00
1988;Golčův Jeníkov;949;568635;01.02.2023 00:00:00;;24.11.1990 00:00:00
3832;Hanušovice;2020;535532;16.05.2025 00:00:00;;24.11.1990 00:00:00
1996;Havlíčkův Brod;949;568414;18.09.2024 00:00:00;;24.11.1990 00:00:00
3565;Havířov;1791;555088;24.03.2026 00:00:00;;24.11.1990 00:00:00
2119;Heřmanův Městec;981;571385;17.10.2025 00:00:00;;24.11.1990 00:00:00
19;Hlavní město Praha;19;554782;06.12.2017 00:00:00;;01.01.2003 00:00:00
2127;Hlinsko;990;571393;24.02.2025 00:00:00;;24.11.1990 00:00:00
582;Hluboká nad Vltavou;302;544485;28.12.2023 00:00:00;;24.11.1990 00:00:00
3689;Hlubočky;1899;502146;06.04.2018 00:00:00;;01.01.2003 00:00:00
3743;Hlučín;1929;507016;31.03.2016 00:00:00;;24.11.1990 00:00:00
1732;Hodkovice nad Mohelkou;817;564061;02.01.2021 00:00:00;;20.03.1992 00:00:00
2950;Hodonín;1473;586021;18.05.2022 00:00:00;;24.11.1990 00:00:00
3077;Holešov;1538;588458;11.09.2025 00:00:00;;24.11.1990 00:00:00
2321;Holice;1074;574988;16.08.2021 00:00:00;;24.11.1990 00:00:00
1023;Holýšov;621;553654;11.07.2025 00:00:00;;24.11.1990 00:00:00
1163;Horažďovice;558;556254;16.09.2019 00:00:00;;24.11.1990 00:00:00
3433;Horní Benešov;1716;597350;25.06.2024 00:00:00;;24.11.1990 00:00:00
3875;Horní Lideč;2054;542725;24.06.2021 00:00:00;;20.03.1992 00:00:00
655;Horní Planá;329;545511;19.08.2025 00:00:00;;24.11.1990 00:00:00
