KOD;NAZEV;STATUS_KOD;POU_KOD;OKRES_KOD;CLENENI_SM_ROZSAH_KOD;CLENENI_SM_TYP_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
554979;Abertamy;3;1121;3403;;;18.09.2025 00:00:00;;
531367;Adamov;2;221;3205;;;17.12.2025 00:00:00;;24.11.1990 00:00:00
535826;Adamov;2;647;3301;;;14.04.2024 00:00:00;;24.11.1990 00:00:00
581291;Adamov;3;2691;3701;;;13.04.2024 00:00:00;;
547786;Adršpach;2;2283;3605;;;11.02.2026 00:00:00;;01.09.1990 00:00:00
598925;Albrechtice;2;3565;3803;;;12.04.2024 00:00:00;;01.01.1869 00:00:00
547981;Albrechtice;2;2631;3611;;;12.04.2024 00:00:00;;24.11.1990 00:00:00
576077;Albrechtice nad Orlicí;2;2411;3607;;;16.10.2025 00:00:00;;24.11.1990 00:00:00
549258;Albrechtice nad Vltavou;2;868;3305;;;13.04.2024 00:00:00;;
563528;Albrechtice v Jizerských horách;2;1694;3504;;;13.04.2024 00:00:00;;
568741;Albrechtičky;2;3671;3804;;;13.04.2024 00:00:00;;24.11.1990 00:00:00
506761;Alojzov;2;3140;3709;;;13.04.2024 00:00:00;;28.02.1990 00:00:00
538001;Andělská Hora;2;1104;3403;;;15.10.2024 00:00:00;;24.11.1990 00:00:00
551929;Andělská Hora;3;3425;3801;;;27.06.2025 00:00:00;;24.11.1990 00:00:00
573426;Anenská Studánka;2;2631;3611;;;14.04.2024 00:00:00;;24.11.1990 00:00:00
586030;Archlebov;2;3000;3706;;;12.04.2024 00:00:00;;
509388;Arneštovice;2;809;3304;;;21.11.2023 00:00:00;;01.07.1990 00:00:00
586854;Arnolec;2;3026;3707;;;22.05.2025 00:00:00;;
562343;Arnoltice;2;1589;3502;;;14.04.2024 00:00:00;;
554499;Aš;3;1074;3402;;;16.01.2025 00:00:00;;
569828;Babice;2;2062;3602;;;11.11.2024 00:00:00;;01.01.1992 00:00:00
537241;Babice;2;876;3306;;;14.04.2024 00:00:00;;24.11.1990 00:00:00
592013;Babice;2;3239;3711;;;14.04.2024 00:00:00;;
538043;Babice;2;400;3209;;;13.04.2024 00:00:00;;
552356;Babice;2;3735;3805;;;13.04.2024 00:00:00;;24.11.1990 00:00:00
590274;Babice;2;3182;3710;;;14.04.2024 00:00:00;;
582794;Babice nad Svitavou;2;2798;3703;;;13.04.2024 00:00:00;;
582808;Babice u Rosic;2;2771;3703;;;13.04.2024 00:00:00;;24.11.1990 00:00:00
553433;Babylon;2;1015;3401;;;13.04.2024 00:00:00;;24.11.1990 00:00:00
535427;Bakov nad Jizerou;3;299;3207;;;13.04.2024 00:00:00;;
595217;Baliny;2;3409;3714;;;14.04.2024 00:00:00;;01.01.1992 00:00:00
563251;Balkova Lhota;2;990;3308;;;16.10.2025 00:00:00;;24.11.1990 00:00:00
593729;Bantice;2;3361;3713;;;21.10.2024 00:00:00;;
572560;Banín;2;2526;3609;;;13.04.2024 00:00:00;;01.09.1990 00:00:00
569836;Barchov;2;2062;3602;;;13.04.2024 00:00:00;;
574724;Barchov;2;2348;3606;;;22.05.2025 00:00:00;;
533173;Barchovice;2;159;3204;;;14.04.2024 00:00:00;;
548260;Bartoušov;2;1996;3601;;;27.04.2026 00:00:00;;24.11.1990 00:00:00
599212;Bartošovice;2;3646;3804;;;12.04.2024 00:00:00;;
