KOD;NAZEV;SPRAVNI_OBEC_KOD;OKRES_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
507;Aš;554499;3402;02.01.2021 00:00:00;;01.01.2003 00:00:00
27;Benešov;529303;3201;07.12.2022 00:00:00;;01.01.2003 00:00:00
51;Beroun;531057;3202;12.01.2026 00:00:00;;01.01.2003 00:00:00
1295;Blansko;581283;3701;09.12.2025 00:00:00;;01.01.2003 00:00:00
434;Blatná;550850;3307;07.03.2025 00:00:00;;01.01.2003 00:00:00
591;Blovice;557587;3406;09.09.2025 00:00:00;;01.01.2003 00:00:00
1783;Bohumín;599051;3803;02.01.2021 00:00:00;;01.01.2003 00:00:00
1309;Boskovice;581372;3701;14.02.2023 00:00:00;;01.01.2003 00:00:00
213;Brandýs nad Labem-Stará Boleslav;538094;3209;24.03.2025 00:00:00;;01.01.2003 00:00:00
1317;Brno;582786;3702;07.02.2024 00:00:00;;01.01.2003 00:00:00
1031;Broumov;573922;3605;04.01.2022 00:00:00;;01.01.2003 00:00:00
1716;Bruntál;597180;3801;25.06.2024 00:00:00;;01.01.2003 00:00:00
1627;Bučovice;592943;3712;20.01.2023 00:00:00;;01.01.2003 00:00:00
1678;Bystřice nad Pernštejnem;595411;3714;04.01.2023 00:00:00;;01.01.2003 00:00:00
1520;Bystřice pod Hostýnem;588393;3708;06.02.2024 00:00:00;;01.01.2003 00:00:00
906;Bílina;567451;3509;07.06.2022 00:00:00;;01.01.2003 00:00:00
1830;Bílovec;599247;3804;06.11.2025 00:00:00;;01.01.2003 00:00:00
1384;Břeclav;584291;3704;11.04.2023 00:00:00;;01.01.2003 00:00:00
515;Cheb;554481;3402;15.07.2025 00:00:00;;01.01.2003 00:00:00
752;Chomutov;562971;3503;01.11.2021 00:00:00;;01.01.2003 00:00:00
931;Chotěboř;568759;3601;24.03.2023 00:00:00;;01.01.2003 00:00:00
981;Chrudim;571164;3603;03.07.2025 00:00:00;;01.01.2003 00:00:00
337;Dačice;546127;3303;08.07.2025 00:00:00;;01.01.2003 00:00:00
1104;Dobruška;576271;3607;08.10.2025 00:00:00;;01.01.2003 00:00:00
248;Dobříš;540111;3211;28.07.2025 00:00:00;;01.01.2003 00:00:00
485;Domažlice;553425;3401;15.09.2025 00:00:00;;01.01.2003 00:00:00
1201;Dvůr Králové nad Labem;579203;3610;21.10.2025 00:00:00;;01.01.2003 00:00:00
