KOD;NAZEV;REGSOUDR_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Hlavní město Praha;19;CZ010;23.11.2016 00:00:00;;01.01.2000 00:00:00
116;Jihomoravský kraj;60;CZ064;11.12.2025 00:00:00;;01.01.2000 00:00:00
35;Jihočeský kraj;35;CZ031;18.03.2026 00:00:00;;01.01.2000 00:00:00
51;Karlovarský kraj;43;CZ041;21.06.2023 00:00:00;;01.01.2000 00:00:00
108;Kraj Vysočina;60;CZ063;18.03.2026 00:00:00;;01.01.2000 00:00:00
86;Královéhradecký kraj;51;CZ052;19.05.2025 00:00:00;;01.01.2000 00:00:00
78;Liberecký kraj;51;CZ051;04.11.2025 00:00:00;;01.01.2000 00:00:00
132;Moravskoslezský kraj;86;CZ080;09.01.2026 00:00:00;;01.01.2000 00:00:00
124;Olomoucký kraj;78;CZ071;09.01.2026 00:00:00;;01.01.2000 00:00:00
94;Pardubický kraj;51;CZ053;03.07.2025 00:00:00;;01.01.2000 00:00:00
43;Plzeňský kraj;35;CZ032;20.02.2026 00:00:00;;01.01.2000 00:00:00
27;Středočeský kraj;27;CZ020;20.02.2026 00:00:00;;01.01.2000 00:00:00
141;Zlínský kraj;78;CZ072;11.09.2025 00:00:00;;01.01.2000 00:00:00
60;Ústecký kraj;43;CZ042;04.11.2025 00:00:00;;01.01.2000 00:00:00
